review_id,text,true_aspects,predicted_aspects,missing_aspects,extra_aspects,true_aspect_sentiments,predicted_aspect_sentiments,sentiment_errors,confidence
8612,التطبيق جميل .. أتمنى إضافة البحث عن طريق الخريطة وتكون جميع العروض ظاهرة بالخريطة مثل موقع بوكينق .. وشكرا,"[""app_experience""]","[""app_experience""]",[],[],"{""app_experience"": ""neutral""}","{""app_experience"": ""positive""}","{""app_experience"": {""true"": ""neutral"", ""predicted"": ""positive""}}",0.592313
6729,سراقين مكتوب وصلت السياره والسواق مارضى يقول وين ولمى الرحله من عنده وحطو لي 10 ريال ادفعها حسبي الله ونعم الوكيل فيه,"[""service"", ""delivery"", ""price""]","[""service"", ""price""]","[""delivery""]",[],"{""service"": ""negative"", ""delivery"": ""negative"", ""price"": ""negative""}","{""service"": ""negative"", ""price"": ""negative""}",{},0.600976
6292,سي جيدا,"[""general""]","[""general""]",[],[],"{""general"": ""negative""}","{""general"": ""positive""}","{""general"": {""true"": ""negative"", ""predicted"": ""positive""}}",0.813155
7814,نصيحه متشتريش منتج وتكون دافع مسبقا بفيزا هيحصل حاجه من الاتنين المندوب هيعمل انه سلمها او التاجر هيلغب لو السعر اتغير وفي الحالتين الفلوس هترجعلك بعد خمس ايام,"[""delivery"", ""service"", ""app_experience"", ""price""]","[""price""]","[""app_experience"", ""delivery"", ""service""]",[],"{""delivery"": ""negative"", ""service"": ""negative"", ""app_experience"": ""negative"", ""price"": ""negative""}","{""price"": ""negative""}",{},0.817771
7619,تم اضافة مصاريف شحن على طلب إكسبريس,"[""delivery"", ""price""]","[""app_experience""]","[""delivery"", ""price""]","[""app_experience""]","{""delivery"": ""negative"", ""price"": ""negative""}","{""app_experience"": ""negative""}",{},0.736589
10016,التطبيق غير موثوق بالمرة تعرضت فيه لعملية نصب و دفعت ثمن حجز ٤ ايام و الغرفة اللي استلمتها غير مطابقة للصور ابدا الغرفة كانت غير صالحة للسكن البشري شي بيشبه الزريبة و لا يوجود طريقة لالغاء الحجز مع استرداد كامل المبلغ و لما تواصلت مع التطبيق بعد اسبوعين اخد و رد بالاخير بيبعتولي ايميل بقولو فيه اذا صاحب الغرفة ما وافق على ارجاع المبلغ ما منقدر نرجعلك شي يعني حقك غير محفوظ اذا صاحب الغرفة كان نصاب,"[""app_experience"", ""service"", ""cleanliness"", ""price""]","[""app_experience"", ""service"", ""price""]","[""cleanliness""]",[],"{""app_experience"": ""negative"", ""service"": ""negative"", ""cleanliness"": ""negative"", ""price"": ""negative""}","{""app_experience"": ""negative"", ""service"": ""negative"", ""price"": ""negative""}",{},0.596898
3871,"برجاء الإشراف والمتابعة لجميع مستشفيات الحكوميه من المسؤولين.
الوقايه خير من العلاج لو يوجد وقايه ولا علاج","[""service""]","[""none""]","[""service""]","[""none""]","{""service"": ""negative""}","{""none"": ""neutral""}",{},0.05
6255,ابلكيشن كداب لما اطلب أوردر و يتلغى كذا مره مره عشان الفيزا و مرا عشان المطعم مش بيوصل و بعد كده يشيلوا المطعم خالص,"[""app_experience"", ""delivery"", ""service""]","[""app_experience"", ""delivery""]","[""service""]",[],"{""app_experience"": ""negative"", ""delivery"": ""negative"", ""service"": ""negative""}","{""app_experience"": ""negative"", ""delivery"": ""negative""}",{},0.501108
9442,هو تطبيق ممتاز بس لحد دلوقتي محجزتش من عليه بس هل دا ثقه ومعتمد,"[""app_experience""]","[""app_experience""]",[],[],"{""app_experience"": ""neutral""}","{""app_experience"": ""positive""}","{""app_experience"": {""true"": ""neutral"", ""predicted"": ""positive""}}",0.344999
5812,خدمة سيئة عملوا احتفال راس السنة 2026 الفرد ب1000 جنيه شامل وجبه العشاء اخذوا الفلوس وجلسنا ننتظر الوجبه ساعة ونص ولا احد عبرنا اقسم بالله تجربة سيئة ماتتكرر,"[""service"", ""food"", ""price""]","[""service"", ""price""]","[""food""]",[],"{""service"": ""negative"", ""food"": ""negative"", ""price"": ""negative""}","{""service"": ""negative"", ""price"": ""negative""}",{},0.586835
329,هعتبر ان المره دي متحسبتش علشان رمضان وهجرب بعد رمضان,"[""general""]","[""none""]","[""general""]","[""none""]","{""general"": ""neutral""}","{""none"": ""neutral""}",{},0.050039
5126,الاسعار فوق المتوسطه بس الاجواء جميله والخدمة ممتازه,"[""price"", ""ambiance"", ""service""]","[""service"", ""ambiance"", ""food""]","[""price""]","[""food""]","{""price"": ""negative"", ""ambiance"": ""positive"", ""service"": ""positive""}","{""service"": ""positive"", ""ambiance"": ""positive"", ""food"": ""positive""}",{},0.565467
5365,المفروض يستغنى عن الملاعق الحديد بااعواد من خشب أفضل مثل الكافهات الكبيره لان رمسيس هيلتون من أفضل الفنادق وسط البلد المطله على النيل,"[""service"", ""ambiance""]","[""none""]","[""ambiance"", ""service""]","[""none""]","{""service"": ""negative"", ""ambiance"": ""positive""}","{""none"": ""neutral""}",{},0.05
9643,الأسعار تتغير داخل التطبيق,"[""price"", ""app_experience""]","[""app_experience""]","[""price""]",[],"{""price"": ""negative"", ""app_experience"": ""negative""}","{""app_experience"": ""negative""}",{},0.473781
5390,"العيادة ممتازة جدا. ومتعاونين بالمواعيد وشغلهم حلووو. سويت عندهم تلبسات وتنظيف وعجبني شغلهم وان شاءالله الزيارة القادمة نبدا شغل الزراعة. شكرا للمدير مصطفى شخص خلوق ومحترم ومتساعد جدا. شكرا للدكتور محمد وشكرا للدكتور يحي.
بالمجمل شغل جميل وسعر حلو وخدمة مميزة.","[""service"", ""price"", ""ambiance""]","[""service"", ""cleanliness"", ""price"", ""food""]","[""ambiance""]","[""cleanliness"", ""food""]","{""service"": ""positive"", ""price"": ""positive"", ""ambiance"": ""positive""}","{""service"": ""positive"", ""cleanliness"": ""positive"", ""price"": ""positive"", ""food"": ""positive""}",{},0.05
5148,"Amazing service
The staff are so friendly and helpful and kind
افضل صالون nails جربته بالزمالك والاسعار رائعه
الموظفين كتكوتين وبشوشين جداً وصبورين علينا وعملوا لنا الي احنا عايزينه بالضبط
تعامل ولا اروع
سما سيد شيماء ويوسف وسلمى وعوض وبيبو صراحه staff  قمه فالاخلاق واللطافه","[""service"", ""price""]","[""service"", ""price"", ""ambiance"", ""cleanliness""]",[],"[""ambiance"", ""cleanliness""]","{""service"": ""positive"", ""price"": ""positive""}","{""service"": ""positive"", ""price"": ""positive"", ""ambiance"": ""positive"", ""cleanliness"": ""positive""}",{},0.575202
1009,"جربت البامية والفراخ اكثر من مرة و طعمه جيد جدا و نظيف
طلبت دليفري","[""food"", ""cleanliness"", ""delivery""]","[""food""]","[""cleanliness"", ""delivery""]",[],"{""food"": ""positive"", ""cleanliness"": ""positive"", ""delivery"": ""neutral""}","{""food"": ""positive""}",{},0.739074
8752,جميل جدا لا يوجد أي ملاحظات سلبية ولكن يوجد عليه ان يدفع مبلغ بسيط تكمله,"[""app_experience"", ""price""]","[""general""]","[""app_experience"", ""price""]","[""general""]","{""app_experience"": ""positive"", ""price"": ""negative""}","{""general"": ""positive""}",{},0.05
9687,تجربة جيدة بشكل عام، لكن واجهة المستخدم تحتاج لتطوير لتصبح أكثر سلاسة. أسعار الفنادق منافسة ولكن إجراءات الإلغاء معقدة بعض الشيء في بعض الأحيان.,"[""app_experience"", ""price"", ""service""]","[""app_experience"", ""price""]","[""service""]",[],"{""app_experience"": ""negative"", ""price"": ""positive"", ""service"": ""negative""}","{""app_experience"": ""negative"", ""price"": ""negative""}","{""price"": {""true"": ""positive"", ""predicted"": ""negative""}}",0.555179
8562,بالفعل تم التواصل وحل المشكلة وتم نشر أول إعلان مجانى,"[""service"", ""app_experience""]","[""none""]","[""app_experience"", ""service""]","[""none""]","{""service"": ""positive"", ""app_experience"": ""positive""}","{""none"": ""neutral""}",{},0.076632
7153,افضل موقع بالمملكة العربية السعودية نون,"[""app_experience""]","[""none""]","[""app_experience""]","[""none""]","{""app_experience"": ""positive""}","{""none"": ""neutral""}",{},0.070429
5771,انضف جيم جنبي واحسن كابتن عبدلله,"[""cleanliness"", ""service""]","[""service""]","[""cleanliness""]",[],"{""cleanliness"": ""positive"", ""service"": ""positive""}","{""service"": ""positive""}",{},0.809179
2520,"اليوم كان جميل جدا
شكر خاص
كريم
احمد غريب","[""general""]","[""service""]","[""general""]","[""service""]","{""general"": ""positive""}","{""service"": ""positive""}",{},0.578454
4449,عملت اظافر عند خلود بصراحه احلى مره عملت فيها اشطر وحدة في مصر كلها نظافة وترتيب وذوق وروحهم حلوه,"[""service"", ""cleanliness"", ""ambiance""]","[""service"", ""cleanliness""]","[""ambiance""]",[],"{""service"": ""positive"", ""cleanliness"": ""positive"", ""ambiance"": ""positive""}","{""service"": ""positive"", ""cleanliness"": ""positive""}",{},0.65246
6307,التطبيق كويس زودو الخصومات بقا 😂,"[""app_experience"", ""price""]","[""app_experience""]","[""price""]",[],"{""app_experience"": ""positive"", ""price"": ""negative""}","{""app_experience"": ""positive""}",{},0.562235
658,"والله اني محتار من بعض التعليقات كان يجيه صاحي ويسب الاكل واذا سكر وضيع الطاسه انفتحت الشهيه عنده قال طعمهم رائع
وحده تقول اول ماجيت مصر كان اكلهم حلو وبعد ماصحت وفكت السكره سبت 😂😂😂😂","[""food""]","[""food""]",[],[],"{""food"": ""neutral""}","{""food"": ""positive""}","{""food"": {""true"": ""neutral"", ""predicted"": ""positive""}}",0.274524
5014,"خدمة جيدة عروض  جيدة لا خصومات للأفراد
اذا كنت تابع لشركه تأمين خدمه جيدة","[""service"", ""price""]","[""service""]","[""price""]",[],"{""service"": ""positive"", ""price"": ""negative""}","{""service"": ""positive""}",{},0.877016
4309,اكل استغفر الله العظيم ، جي من اسوان عشان اكل بيتزا كويسه ومش فارق معايا سعرها ايه وللاسف عشان كنت في وسط البلد فلقيت على طلبات بيتزا كينج ويا ريته ما ظهر قدامي ، اكل سئ المحلات الي تحت بير السلم بتعمل انضف منه ، اجي ادفع فوق ال٥٠٠ ج في بيتزيتين وفي الاخر باكل عيش فينو الموضوع بالرغم انه عدى عليه اكتر من شهر بس والله ما نسيه وحالف للنزل الريفيو,"[""food"", ""price""]","[""food"", ""price"", ""service""]",[],"[""service""]","{""food"": ""negative"", ""price"": ""negative""}","{""food"": ""negative"", ""price"": ""negative"", ""service"": ""negative""}",{},0.587726
6071,السندوتشات علطول باردة الطعمية والبطاطس متلجين حرفيا ولازم حضرتك بنفسك إللي تروح تجيب الطعمية وتستني لغاية ما تطلع غير كده لو مستعجل خدها متلجة واذا كان عاجب,"[""food"", ""service""]","[""food""]","[""service""]",[],"{""food"": ""negative"", ""service"": ""negative""}","{""food"": ""positive""}","{""food"": {""true"": ""negative"", ""predicted"": ""positive""}}",0.381585
8711,بجد برنامج مش قادرة اوصف حلاوته او مميزاته♥,"[""app_experience""]","[""none""]","[""app_experience""]","[""none""]","{""app_experience"": ""positive""}","{""none"": ""neutral""}",{},0.092521
6531,فاشلة الصبح من اطلب مايلتزمون بالكروة ياخذون اكثر على الرغم جان عندي تخفيض بالسعر، ياريت الشركة تهتم بالسيارت الصبح,"[""service"", ""price"", ""delivery""]","[""price"", ""service""]","[""delivery""]",[],"{""service"": ""negative"", ""price"": ""negative"", ""delivery"": ""negative""}","{""price"": ""negative"", ""service"": ""negative""}",{},0.794617
4169,سيئ جدا ، خساير فلوس بس,"[""price""]","[""general""]","[""price""]","[""general""]","{""price"": ""negative""}","{""general"": ""negative""}",{},0.073354
6473,الابلكشين حرفياً اتطور وبقي حاجه روعه روعه روعه واستخدام وسرعه في التوصيل بجد التطور الجديد بقي رهيب وحلو جدااااااا 🔥😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,"[""app_experience"", ""delivery""]","[""app_experience"", ""delivery"", ""food""]",[],"[""food""]","{""app_experience"": ""positive"", ""delivery"": ""positive""}","{""app_experience"": ""positive"", ""delivery"": ""positive"", ""food"": ""positive""}",{},0.05
9578,الدعم الفنى بصراحه متعاون وممتاز .. كلمنى موظف اسمه مصطفى ابراهيم استحملنى فى أسألتى الكتيره بدون ملل .. الحجز مع ويجو بيزيد شويه عشان المصاريف لكن بيتم بسرعه وإنتا فى مكانك بدون ما تتعب نفسك وتدور على مكاتب حجز أو شركات والدعم عندهم ممتاز وكمان خدماتهم كتير غير تذاكر الطيران .. بصراحه كنت خايف استخدمه لكن من النهاردة هستخدمه علطول,"[""service"", ""price"", ""app_experience""]","[""service"", ""ambiance""]","[""app_experience"", ""price""]","[""ambiance""]","{""service"": ""positive"", ""price"": ""negative"", ""app_experience"": ""positive""}","{""service"": ""positive"", ""ambiance"": ""positive""}",{},0.05
6461,للاسف اول واخر مره اتعامل مع المطعم السيئ ده الكفته بصوص مقرف وكأنها مش مشويه علي الفحم خالص كانها مسلوقه وكذلك الفراخ مش حلوه استقبالكم طيب ومعاملتكم طيبه لا انكر لكن الشيف لازم تغيرروه بصراحه بطننا وجعانا من امبارح كرهتونا في الاكل من المطاعم كلها,"[""food"", ""service""]","[""food"", ""service""]",[],[],"{""food"": ""negative"", ""service"": ""positive""}","{""food"": ""negative"", ""service"": ""negative""}","{""service"": {""true"": ""positive"", ""predicted"": ""negative""}}",0.395751
5140,الصراحة دخلت اسوي رموش والصراحة ماعجبني ابدا الشغل وهى مسوية لى اربع حبات وبدال ماتشيلها وتحاول تحسن من سياسة كسب الزبون تخليوا دفعتني 300 جنية على ان العلبة حق الرموش من شي ان والعلبة كلها قيمتها 10 ريال  الصراحة ماعجني طريقة صاحبة المحل اظن اسمها شيما ماانصح فيه ابداً  حطيت نجمة علشان نظافة المكان فقط تعامل سيء,"[""service"", ""price"", ""cleanliness""]","[""service"", ""price"", ""ambiance"", ""cleanliness""]",[],"[""ambiance""]","{""service"": ""negative"", ""price"": ""negative"", ""cleanliness"": ""positive""}","{""service"": ""negative"", ""price"": ""negative"", ""ambiance"": ""negative"", ""cleanliness"": ""negative""}","{""cleanliness"": {""true"": ""positive"", ""predicted"": ""negative""}}",0.052483
4245,الصالون جميل والأناس الي فيه جدا متعاونين وطيبين عملت عندهم صبغه شعر وحواجب واستشوار  ..لكن غالي سعرهم ولا عندهم فيزا,"[""ambiance"", ""service"", ""price""]","[""service"", ""price""]","[""ambiance""]",[],"{""ambiance"": ""positive"", ""service"": ""positive"", ""price"": ""negative""}","{""service"": ""positive"", ""price"": ""positive""}","{""price"": {""true"": ""negative"", ""predicted"": ""positive""}}",0.22652
5455,"سعادة إدارة العيادة المحترمين
السلام عليكم ورحمة الله وبركاته،

أود أن أحيطكم علمًا بما واجهته خلال تعاملي مع عيادتكم الموقرة:

قبل حجز الموعد، قمت بإرسال تقرير طبي مفصل عن حالتي الصحية مرفقًا بالتحاليل اللازمة قبل البدء بالعلاج، وطرحت استفسارًا واضحًا حول إمكانية مساعدتي في حالتي. وقد تلقيت منكم ردًا إيجابيًا يفيد بقدرتكم على المساعدة، ولذلك حجزت موعدًا عن بُعد مقابل (٢٠٠ ريال).

وخلال الموعد شرحت للدكتورة وضعي الصحي الذي يتطلب علاجًا محددًا، وأكدت لي حينها أن العلاج متوفر بالفعل في العيادة، مما طمأنني ورفع من ثقتي. لكن بعد الموعد تغيّر الموقف تمامًا، حيث أفادوني أن العلاج غير متوفر لديهم، وإنما سيتم رفع طلب للصيدليات لتزويد العيادة به. ومنذ ذلك الوقت، وعلى مدى ثلاثة أشهر، كنت أتابع بشكل مستمر عبر الواتساب للاستفسار عن توفر العلاج، إلا أن الرد المتكرر كان بالنفي وعدم توفره.

وعندما طلبت تزويدي بالوصفة الطبية لشراء العلاج من مصدر آخر، قوبل طلبي بالرفض، بحجة أن العلاج لا يُصرف إلا من خلال العيادة. الأمر الذي أظهر أن الهدف لم يكن توفير العلاج بقدر ما كان ماديًا بحتًا، وهو ما سبب لي خيبة أمل عميقة بعد أن منحتكم ثقتي.

راجية من سعادتكم النظر في هذه الواقعة واتخاذ ما ترونه مناسبًا.

وتفضلوا بقبول وافر الاحترام والتقدير","[""service"", ""price""]","[""service""]","[""price""]",[],"{""service"": ""negative"", ""price"": ""negative""}","{""service"": ""positive""}","{""service"": {""true"": ""negative"", ""predicted"": ""positive""}}",0.523549
3238,"سوق وسط البلد في القاهرة هو نابض بالحياة وقلب العاصمة النابض. يمزج بسلاسة بين عبقة التاريخ وسحر العمارة الأوروبية القديمة مع حيوية التجارة والنشاط المعاصر. تجد فيه كل ما تحتاجه من ماركات عالمية ومحلات تقليدية أصيلة، بالإضافة إلى مقاهٍ ومطاعم مميزة. إنه ليس مجرد مكان للتسوق، بل هو تجربة ثقافية وترفيهية فريدة تضعك في صميم تاريخ وحاضر القاهرة.

:

Khedival Cairo's downtown market is the vibrant, beating heart of the capital. It seamlessly blends the allure of history and old European architecture with the energy of modern commerce and activity. You can find everything from global brands to authentic traditional shops, alongside distinguished cafes and restaurants. It's more than just a shopping destination; it's a unique cultural and entertainment experience that places you at the core of Cairo's past and present.","[""ambiance""]","[""ambiance"", ""general""]",[],"[""general""]","{""ambiance"": ""positive""}","{""ambiance"": ""positive"", ""general"": ""positive""}",{},0.101722
5375,صيدلية جيدة ، لكنها أحيانا غير قادرة على توفير بعض الأصناف الدوائية,"[""service""]","[""none""]","[""service""]","[""none""]","{""service"": ""negative""}","{""none"": ""neutral""}",{},0.05
5369,صيدلة قديمة في ميدان الباشا تجد فيها كل الأدوية والمستلزمات الطبية,"[""general""]","[""none""]","[""general""]","[""none""]","{""general"": ""positive""}","{""none"": ""neutral""}",{},0.07519
3962,"بقالنا سنين مع دكتور فادي
دكتورنا الغالي علينا","[""general""]","[""service""]","[""general""]","[""service""]","{""general"": ""positive""}","{""service"": ""positive""}",{},0.477122
3966,ناس اسوان بيحيوا د فادي المحترم,"[""none""]","[""service""]","[""none""]","[""service""]","{""none"": ""neutral""}","{""service"": ""positive""}",{},0.70707
4670,عيادة محترمة وتعامل ومتابعة روعة و دكاترة فاهمين ربنا يبارك و يتوسعوا ف اكتر من مكان,"[""ambiance"", ""service""]","[""service""]","[""ambiance""]",[],"{""ambiance"": ""positive"", ""service"": ""positive""}","{""service"": ""positive""}",{},0.811552
5295,من الصيدليات المتعاقدة مع التأمين الصحي,"[""general""]","[""none""]","[""general""]","[""none""]","{""general"": ""neutral""}","{""none"": ""neutral""}",{},0.085365
929,ما شاء الله سوق كامل للملابس اطفال وحريمي ورجالي فئات سعرية مختلفة شفت شغل مش موجود في أعلى براندات في مصر,"[""price""]","[""price""]",[],[],"{""price"": ""positive""}","{""price"": ""negative""}","{""price"": {""true"": ""positive"", ""predicted"": ""negative""}}",0.306972
8449,برنامج جيد لكن ينقصه الانتشار الأوسع,"[""app_experience""]","[""general""]","[""app_experience""]","[""general""]","{""app_experience"": ""neutral""}","{""general"": ""positive""}",{},0.05
5906,مبسوطه بجد احسن مكان عملت فيه ضوافري مارينا شاطره اوي ولطيفه جدا شكرا 🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷,"[""service""]","[""service"", ""ambiance""]",[],"[""ambiance""]","{""service"": ""positive""}","{""service"": ""positive"", ""ambiance"": ""positive""}",{},0.666563
4191,"مكان نظيف مرتب اجهزه بحاله ممتازه
لكن يجب تعديل مواعيد الكلاسس","[""cleanliness"", ""ambiance"", ""service""]","[""ambiance"", ""cleanliness""]","[""service""]",[],"{""cleanliness"": ""positive"", ""ambiance"": ""positive"", ""service"": ""negative""}","{""ambiance"": ""positive"", ""cleanliness"": ""positive""}",{},0.524545
2601,الفطيره كانت كويسه بس مزيته جدا لدرجه ان الكرتونه الزيت بيسرب منها,"[""food"", ""cleanliness""]","[""none""]","[""cleanliness"", ""food""]","[""none""]","{""food"": ""negative"", ""cleanliness"": ""negative""}","{""none"": ""neutral""}",{},0.05
1865,جميل ونضيف لكن  سعره شوي حار وطريقة الحليب مش حلوه  لزم يكون جاهز الحليب مع الشاي ثاني شي الفطور حلو جميل,"[""ambiance"", ""cleanliness"", ""price"", ""service"", ""food""]","[""food"", ""price""]","[""ambiance"", ""cleanliness"", ""service""]",[],"{""ambiance"": ""positive"", ""cleanliness"": ""positive"", ""price"": ""negative"", ""service"": ""negative"", ""food"": ""positive""}","{""food"": ""positive"", ""price"": ""positive""}","{""price"": {""true"": ""negative"", ""predicted"": ""positive""}}",0.258585
4639,"فندق لا بأس فيه موقعه حلو الاطلالة رائعه
بس فى مشكله انت بتحجز وبس توصل ما بتلاقى غرف فاضيه ولا المكان يلى طلبته","[""ambiance"", ""service""]","[""ambiance"", ""food"", ""delivery""]","[""service""]","[""delivery"", ""food""]","{""ambiance"": ""positive"", ""service"": ""negative""}","{""ambiance"": ""neutral"", ""food"": ""positive"", ""delivery"": ""neutral""}","{""ambiance"": {""true"": ""positive"", ""predicted"": ""neutral""}}",0.05
8804,تطبيق جيد لكن يحتاج الي بعض التعديلات,"[""app_experience""]","[""app_experience""]",[],[],"{""app_experience"": ""neutral""}","{""app_experience"": ""positive""}","{""app_experience"": {""true"": ""neutral"", ""predicted"": ""positive""}}",0.497301
3352,المكان الصح صح مميز جدا جدا,"[""general""]","[""ambiance""]","[""general""]","[""ambiance""]","{""general"": ""positive""}","{""ambiance"": ""positive""}",{},0.578421
6573,يسلم ايديك يا كريم انت كثير شاطر يسلم ايديك يا كريم انت كثير شاطر,"[""service""]","[""none""]","[""service""]","[""none""]","{""service"": ""negative""}","{""none"": ""neutral""}",{},0.073085
2737,"بصراحة المكان تحفة الاكل جميل و الخدمة ف المحل حلوه اوي و الستف لطيف جداا ♥️♥️
كل سنه بنفطر عندهم مكان جميل اوي","[""ambiance"", ""food"", ""service""]","[""ambiance"", ""food"", ""service"", ""general""]",[],"[""general""]","{""ambiance"": ""positive"", ""food"": ""positive"", ""service"": ""positive""}","{""ambiance"": ""positive"", ""food"": ""positive"", ""service"": ""positive"", ""general"": ""positive""}",{},0.05
4382,مطعم سيء واكله حامض ومسحوق في صحه الاكل بتاعه جوه المحل في المطبخ بتاعه في بلاعه مجاري واتقفل قبل كده صحيا خدوا بالكم يا مصريين لابد من تقديم بلاغ صحي في المطعم ده وفي علامات استفهام على المطعم ده,"[""food"", ""cleanliness""]","[""food"", ""service""]","[""cleanliness""]","[""service""]","{""food"": ""negative"", ""cleanliness"": ""negative""}","{""food"": ""negative"", ""service"": ""negative""}",{},0.403938
